text,class
" the shirt fits well good style good shirt. but bealls of florida sucks as a retailer. their customer service is rude crude and unrefined. even the supervisors of customer service suck they don't return or accept any items back. so beware you better be damn sure that size fits (ordered product before). because bealls of florida will not let you return the item for different size or style. i will not shop here again! i repeat i will not shop here again. this place sucks as far as a retailer ",negative
" the pants that i ordered for my size were very small. they weren't true to size at all. i would not recommend this item to anyone ",negative
" i ordered the black one. according to the photo provided it was supposed to be black with white seams but when i received it it was all black. once i put it on it fitted perfectly. but it is simply too difficult to put on even though it is the right size. ",negative
" suit was too small not enough information available on the site for it. i called amazon but even the customer representative was not sure the size. i bought the suit as he suggested but it is too small ",negative
" the swim suit was so unsatisfactory looking that i didn't even try it on. it was blue striped with a totally different blue strap that didn't go with the main color of the suit. very poor choice for a grab bag. taught me not to use grab bag shopping from this company ",negative
" if you are a small frame person or a short person these will work fine for you. the white is thin and you can see through it so i don't reccomend buying white on this brand. the t-shirts run very small. a size x-large fits both of us very big on most brands but this brand was so tight we could not even get it on so these run very small. they are also short. 29 inches is short for a man's t-shirt. if you are tall i would not recommend this t-shirt. the t-shirt is soft not scratchy and the style is nice. we only had problems with the sizing and of course the white being so thin that it is see through ",negative
" i have to say that i was disappointed when i opened up the package containing my ipod wallet. it's cute but not $60ish cute. first of all it's not leather it's nylon. the lining is indeed suede but the photos in the product listing are misleading. i'm keeping it because the hassle of shipping it back etc. isn't worth it. it does the job but it wasn't what i was expecting. i feel ripped off ",negative
" it was advertised and not in stock so i was unable to get it ",negative
" i have had plenty of pairs of doc's but these are not the best for me........... they are not comfy and they tend to be a little tough to break in. as soon as i put them on and took one step ---- there right across the top of the shoe is a nice big crease......... it does not look nice and i am ticked about that...........plus i didnt expect the laces to have green and maroon colors mixed into the brown laces...... it looks dorky! plus i have a manufacturing flaw in them. inside the heel the seam isnt quite right and it rubs my skin and hurts like heck! hopefully the next model i get isnt like thses or they are going back....... putting up with these for now....... ",negative
" these body suits are awful! when i first saw them i was really relieved that i had found something that would be good for the summer months. i put them on my twins after a first wash and the velcro closure scraped up the insides of their delicate little legs! the suits were the appropriate size and were washed according to the label. i am so disappointed and angry. it was a waste of my money. ",negative
" nice looking picture but what are the dementions of the thing ? it looks good but is it 4x 8 or 12 x 8 ? sure would be nice to know the size before i buy............. da trol ",negative
" i bought two of these bags so far. both have failed at the plastic fastener one arm just snapped in no time. the bag itself is ok but the plastic parts on the belt are really cheap... i wont buy a third one. ",negative
" the actual bag itself was great. however the time frame it took to recieve the bag was not. i ordered this bag and three weeks later it came. i had to go buy a bag to take on vacation. kind of defeated the purpose ",negative
" perhaps it is my own fault for not reading more closely or failing to question the somewhat ambiguous product description. the fact is i thought that i would be receiving 84 plastic stays (3x28) 28 each in 3 different sizes. at $8.00 that seemed like a reasonable deal for plastic collar stays. what i got and i confess that the product description could be interpreted this way was a total of 28 stays in assorted sizes. when you add in the $4.00 i was charged for shipping (actual us postal service postage on the package was $1.84) this really is a poor deal compared to other available options. about 43 cents for each plastic collar stay? a bad choice ",negative
" very dissatisfied with the quality like several other reviewers. relegated to cleaning after just one use ",negative
" the shirt fits well good style good shirt. but bealls of florida sucks as a retailer. their customer service is rude crude and unrefined. even the supervisors of customer service suck they don't return or accept any items back. so beware you better be damn sure that size fits (ordered product before). because bealls of florida will not let you return the item for different size or style. i will not shop here again! i repeat i will not shop here again. this place sucks as far as a retailer ",negative
" i wore this shirt just once. it's almost transparent. not worth it even if you get it for free ",negative
" i received an email from txshirts stated that i should direct all inquiries to csr@txshirts.com. i did this on two occasions and received no reply. customer service finally contacted me only to ask why i had left negative feedback on amazon. they stated they never received any email from me. their gym shorts were not as described. the description said covered elastic waistband. instead i received an uncovered elastic waistband that digs into my skin and leaves indentations on my skin. their response? i should pay for return shipping in order to get my money back. but who should pay for return shipping when an item is falsely advertised?? ",negative
" i am sorry but i did not like it nor will i wear it as it is too big & looks funny on me. i wish i had not have gotten it. ",negative
" a red star!?!? i bet this won't sell well in eastern europe. ",negative
" very cute i always get compliments but i wear them only every so often and the bottoms are all ripped up - you'd think i wear them everyday! i'm just upset i paid over $60 for shoes that will barely last one season ",negative
" i purchased these about 3 months ago. they have very little arch support and very little other support elsewhere. i have been wearing them perhaps 2-3 times a week to the office and home. they are already ripping in the back. i wouldn't recommend them; however i do get many compliments about how cute they are. ",negative
" i purchased 3 different embassy purses last december. none of them were the quality i had hoped for and none were used as the gifts they were intended for. in this case the price should be a clue that the bags are cheaply made and not nearly as nice as they look in the pictures used. i would not buy from this company again ",negative
" i purchased these shoes for my upcoming wedding because i have a hard time walking in really high heels. they are extremely cute but the satin ribbon ankle strap doesn't hold my foot firmly in the shoe. when i walked around in them i could feel them flopping. also anytime i raised my foot (to simulate my fiance taking off the garter) there was too much gap between my foot and the shoe. so just be aware of this if you decide to purchase this shoe. for the price this is not worth the buy ",negative
" the jock has good support but the material used is quite abrasive. the elastic and threads bite into your skin. if you use this one for sports you will constantly be distracted. the feel of the material used is very rough against your skin esp at the waist ",negative
" i really really didnt like this product at all. i hated how it fit and the side ties are annoying very hard to keep them tied. also i'm petite so the dimensions of where thems were supposed to be were way off. the product would be much better if it came in auctual sizes as opposed to one size fits all ",negative
" i usually wear size 7m. however this shoe of size 7m is way too small. i have to return it to amazon and pay the shipping fee for the return by myself. i will advise anyone who is interested in this shoe to by 1 size larger than the normal size you wear ",negative
" haven't worn it yet to test the quality however the structure is all wrong. one leg is more narrow than than the other (i could barely fit my leg into it) and the waist is really high ",negative
" not what i expected for the price and the color shipped was wrong. even though i contacted the seller have received no response ",negative
" i loved the bathing suit the first time i laid eyes on it so i purchased it. i'm actually small but i do have thick thighs so i got a medium. but when it was delivered and i tried it on it was too small! i should have gotten a large. the medium made me look like i had these big love handles. so please whatever your size is make sure you get it a size bigger. but other than that the bathing suit is great. i'm just going to have to loose the love handles ",negative
" our 6-year old wants to be a policeman when he grows up. he could not wait to get this belt. we had purchased the police uniform earlier. the first time i ordered the belt it got lost in the mail so he had to wait almost a month to get it. when it finally arrived he could have wrapped it around his waist 3 times it was so long. it is made of very thin vinyl and does not hold up very well to having holes punched in it. it is less than 4 weeks old and probably won't make it through the rest of the month ",negative
" i received the trousers in a timely manner. they were what i expected although they did not fit. i returned them a month ago and have not heard a word from the company. ",negative
" this pillow is an inflated u that fits around your neck. one of the problems is it has a rather sharp plastic edge around where it touches your neck. this can get pretty irritating the longer you use it. fortunately it is dirt cheap so then i guess you get what you pay for. ",negative
" shoe is comfortable but the description says off white or white with beige. which leads you to think the color is mostly white. the true color is neither! there is absolutely no white in these shoes. i purchased these shoes because i needed some white off/white shoes not beige shoes. no i did not return them it's too much of a hassel to return things so i kept them and i have worn them once but do not like the color at all. the style is not as cute as her others but they are still a great bargain. the materials are an excellent quality. if you like beige & earthtones you will like these shoes ",negative
" our company ordered these shirts from the texas shirt company. while we were happy with the quality our order was missing 2 shirts. over a nearly 2 month period we sent emails and called customer service to let them know but their customer service representative insisted that they were accounted for - as if to say we were not telling the truth. if you don't care about customer service then perhaps you might want to use them because the quality and pricing are good - but if you want to be treated fairly then pick another company ",negative
" i purchased this item to keep my wife warm and cozy for the 12-hour flight to japan. however it was way too thin to keep her warm. after using it for about an hour we ended up packing it back to the case and use the blanket given to us by the airline. since i spent over 40 dollars on this blanket i couldn't even throw this away. i had to haul it around for the entire trip. i do not think it is worth 40+ dollars. 10 dollars blanket would do the same (or even better) job than this ",negative
" this was a nightmare order.i paid extra for expedited shipping to assure christmas arrival.package tracking log revealed that the shoes were not even shipped until after christmas -disgraceful and unforgivable to have to tell my 7 yr.old grandson that his gift didn't make it.the shipping cost as much as the shoes and this company should be ashamed.they are also impossible to reach-amazon couldn't even get them on phone.thank goodness the shoes fit-i can't begin to imagine what a return would have been like. the product is great ",negative
" these shoes look great but are horrible running shoes. the soles are solid plastic and do not flex at all on impact. i do not have knee problems but my knees hurt after running in these shoes. they may be a good walking or all-purpose shoe but do not plan on running in them. i returned them and plan to try something else ",negative
" i ordered this wool wrap at the beginning of december and never received the item. i am disappointed that this seller is ripping people off and plan to report the fact that my money was basically stolen from me. if people can't be honest in their transactions then online buying will eventually die out. two thumbs down ",negative
" beware..............this is a little girls camisole and cheap looking ",negative
" look closely at the picture of the white top. it actually has red around the top and on the straps. to those of us who don't want ugly red zig-zag thread....... ",negative
" shoe has a high back that kinda cuts in to your heel. i love clark's but not this pair ",negative
" i got this bra thinking it would be great for rigorous sports and my 38ddd chest. think again. go for the the enell sports bra. i bought a size 3 and it is perfect. no bounce whatsoever!!! i was amazed.... don't bother with this one ",negative
" i am a 38 ff and i was hoping this would help hold me in while running - not! this bra is no better than my 18 hour bras and is double the price! i'm still in search of the bra that will hold me in! this one is going back ",negative
" this shirt was larger than i expected. i got a 2x because i'm a 12-14 but it was way too big. also the pink was a lot brighter than pictured ",negative
" paid double what i found at another site outside of amazon/this store - never again ",negative
" i have ordered intimo silk boxers in the past and have been happy with that purchase. so far the fabric in these cotton boxers is extremely stiff and they have not gotten any softer even after 4 washings. i will continue to wash these in hopes that the fabric will soften enough to be comfortable enough to be worn. i now know why i pay $15.00 for two pair of jockey's ",negative
" the fabric is a little stiff at first bust softens to a acceptable level after a few washes. the elastic band around the waist of these boxers contracts to the point where it wrinkles up the fabric. after a few hours of wear you have the indents of the crinkled up band on your skin and it feels quite uncomfortable. while cheap and nicely packaged these things suck. spend some money on decent underwear ",negative
" i received the night gown tried it on and actually hated it. the built in bra was loose as was the top and there was just too much fabric up top. the straps are too wide. the rest of the gown was okay although it too seemed too drapey and long. i sent the gown back 3 weeks ago now and have still not received a refund. i am very disappointed with the whole transaction/product ",negative
" the sizes listed do not print on the invoice. instead army navy uses 'codes.' when they send the wrong sizes then they blame you for not selecting the right size and want a 15% restocking fee plus return shipping ",negative
" quality was terrible undersized or seconds. later i saw the same product at a discount warehouse for 1/3 of this price. i would not recommend these to anyone i paid and have been waiting 6 weeks for my credit. amazon must protect buyers better or lots of business will go elsewhere. it is only when problems arist that the true color of the marketing company comes to the surface. i am disgusted with this product ",negative
" the shoes weren't the color that i wanted them to be. to me there cheap and are over priced! the quality is not good. they can easily be scuffed. am definitely returning them!! ",negative
" ...the shoes weren't quite what i thought they would be although for 40 bucks i probably shouldn't have been expecting the highest quality pump. they looked a bit cheap and on top of it all they were too small for me. there was no return slip in the package no number to call no way to send the shoes back to make a return so now i'm stuck with 40 dollar cheap looking shoes that no one but my little neices can fit into--and they're a bit too young to be dressing like ladies of the evening. my fault for buying shoes at a place called hollywood heelz i should have known better. i will say this though i like the thin heel and the shoes came in a timely fashion. if i could fit them i'd give them a 2-2 1/2 for that alone ",negative
" these tops were cute for my 7 & 10 year old neices. how in the world did they justify putting a size 2x on these things? ",negative
" the material's good but the suit runs way too small. i ordered the appropriate size based on my measurements but all my wobbly bits are poking out. i don't think i could wear this out in public! not for curvy women! ",negative
" i never received this item when i was promised it so it was cancelled and my account was credited ",negative
" not the best fabric scratchy and see thru. you get what you pay for on these ",negative
" i bought these because they cost less than uggs. but there is no comparison. my old uggs ruled were totally comfy and warm. i bought these because i didn't have the money for uggs and they said they were sheepskin. when i recieved them they looked and felt different. the fur was not curly and fluffy like the uggs it was relatively short and not as soft. i called bearpaw and complained and they assured me that they were not synthetic. but after several calls the owner told me they are not 100% sheepskin they are blended with merino wool which is not stated anywhere on amazon or their website. also i am a designer/ decorator and i am very familiar with fabrics and fibers and i still say they're synthetic. i returned them at my cost and am waiting for a refund. you get what you pay for! i probably could have bought a better pair at payless. what happened next: they promised me they would refund my money if i returned the boots at my cost instead they sent them back to me with no refund. nice ",negative
" these socks are okay but after one wash they were covered with so much fuzz and didnt look good. so the next pair i washed it with hand and dried alone to avoid the fuzz. also they are too warm socks ",negative
" i received the wrong size and color. i returned the product and was told that a refund would be credited to my account.....i am still waiting.....was told that amazon forbids seller to ship a replacement item ",negative
" shoes was not excalty the same as pic shown on web site it was kind of used.. ",negative
" i just found out that this shirt back-ordered after i was promised by amazon before i ordered it that i will receive this item before december 23. i just now received notification that this item was shipped on the 24th and i had purchased it on the 15th. this means i will not get it until after december 26th! because i bought this shirt to go with some camo pants for my sister i was only able to give her pants without the shirt for christmas. she had to leave back across country and i am forced to send this shirt to her. how embarressing! obviously it is christmas time and if you're going to have a storefront on amazon.com you better get extra stock! the worse way to keep a happy customer is by backordering on christmas and ruining a family member's present. beware folks you may not get this item when it says you will ",negative
" i actually had to send this back cause of the size. they run really small. ",negative
" these shoes were very cute as i thought they would be from the pictures. but because of the sides being so short they were nearly impossible to keep on my feet when walking especially when going up stairs. i returned them after only wearing them for 1 day.. ",negative
" very poor quality falling apart at the seams. also really long. ",negative
" these shoes are no longer being made in italy but in india. the quality of the material utilized and the construction is cheap and nothing like they used to be. i have worn this same style of bostonian (marco) for several years and was completely satisfied. this is a cheap imitation of what used to be a great comfortable well-constructed shoe. return to having them made in italy! ",negative
" if you see the description: made in italy be careful! they are made in india. i have written to amazon to let them change. but if you still see made in italy be careful! everybody knows the difference ",negative
" this adapter nearly caught fire the first time i used it. watch out ",negative
" so cheap the seams weren't sewn up all the way. am returning ",negative
" the photo is quite deceiving. this suit is made out of cheap polyester fabric that looks cheap shiny and is horrible to the touch. my three year olds hate the uncomfortable stiffness. spend the extra money for a decent fabric that is actually practical for a toddler if they really need a suit ",negative
" this has been the complaint of others i see but there is no sizing information for this product and consequently i cannot purchase as i don't know what i'm getting ",negative
" get ee if you get these. the d is very narrow and thefore uncomfortable ",negative
" the tie does have gorgeous color to it but when the description says good quality its a little off base. ",negative
" it didn't meet my expectations.....it was flimsy and wrinkled and looked messy ",negative
" i just received this item and now i have to figure out how to return it. this clock is a piece of trash. i never could set it correctly. each time i set the time it would advance the day when going to the normal function mode. the setting button are not protected or disabled when the clock is closed. even it it worked properly it is very dificult to set. if you buy this clock you will regret it ",negative
" i ordered two bras and both were defective. the left side strap had been sewn twisted and there was no way to correct without cutting and resewing ",negative
" i have returned the shirt from amazon/macys. i did not like it and i am still waiting for my refund. i purchased it in january. where's my refund. i will not buy from companies that don't offer free shipping. i was charged to recieve it and also to ship it back. ms. michelle watso ",negative
" beware this item is not a zip front hoodie as the item description says. it is a pullover! ",negative
" the other reviewer is spot on. these are pretty (but not truly mirrored) and they broke after only 4 weeks use. i bought a pair of aviators at a gas station that was made of much sturdier materials for half the price. definitely not worth the $16 ",negative
" they're pretty but flimsy. very light construction. the lens is not really mirrored so if you attempting to hide your eyes forget it. it would be better to spend some real money and get a more professional pair than a cheap chinese knock-off. gave them two stars simply because they are good looking but cheap--and they feel that way on your face. ",negative
" i have worn jockeys for almost 20 years but the quality has gone downhill dramatically in the past few years. the fabric covering the elastic waistband wears out very quickly and the underwear is for some unfathomable reason heavily perfumed! i had to wash them at least 5-6 times to get the smell out. plus some of the elastic on the bottom was too tight and some was so loose i couldn't wear them -- and they were all the same size. very inconsistent quality. i do not recommend these anymore ",negative
" bought one for my new ipod nano a total disappointment. very poorly made. only glued together not stiched upit already started to go apart. you won't be able to connect your headset because the hole below the case is a bit too small. plus there is no belt clip or anything attacheable to one's self when walking or working out. it looks pretty but that is all ",negative
" the 2 bras i ordered were they same style it even said so on the labels attached however they both look and feel different. the white has a lot more padding a rounder shape and the lining is tearing away from the padding (part of the design). the navy bra had a more pointed shape and less padding (which is what i wanted in the first place) i was also disappointed in the sparse stock that was on had...in addition i had to wait an extra 2 weeks for one of the bras to come in because in the ordering screen i was not informed that it would have to be backordered. not happy with my overall experience ",negative
" the one size fits all doesn't fit my slim body...and the item looks made in china if you know what i mean. rather try the double pearl thong or black single pearl thong. they look much classier than the transparent beads with nylon string of the string of bubbles panty ",negative
" all i have had with this product is problems. the clip in the middle kept popping open even when it the wallet was close and my money would fall out so i ended up removing the cheap clip and useing it for what ever. don't waste your money ",negative
" these were a gift at christmas and were a deep burgundy color. they do appear to be well stitched. however after no more than 2 hand washings in cold water the color showed alot of fading and by the 3rd wash i knew they would have to be returned as the color fading was uneven and the tops adn bottoms almost don't look like a match anymore. the silk is soft and lovely but the color should not fade this fast or this much! ",negative
" i was unable to return the item because of restrictions imposed by their return policy i made a mistake by buying i ",negative
" i saw the reviews and ordered the bag the first impression was it looked pretty good! i was happy if i had rated it at that time it would have been 5 stars. the problem now is the threads have come out at couple of places on the front. i had to trim to remove the hanging threads. there are double stitches on the bag. the clip just above the calpack symbol has come out. i suppose the ring which holds it has cracked. don't ask me why i did not send it back... it costs 10 bucks which is one third the price of the bag which does not make sense to send it back. it has started to give me the feeling that there is a price to pay for anything that is cheap! the next time i'm going to branded bags it is worth the price i guess. on the other hand the rest of the bag seems to be ok! except for the defects on the front of the bag(mentioned above). if u r lucky u could have got a better bag ",negative
" first i tried these pants on in my size and i looked like kramer in that episode where jerry dares him to wear jeans. it was ridiculous. i went back to the store and bought them a little bigger and they are the best pair of jeans i've ever owned. ",negative
" very disappointed in the cheap quality and dull color. it doesn't look as nice as what they show on the internet. i returned it for a refund ",negative
" product advertised and then after paying for them they were not available. tied up money for over two weeks before refund credited back. bad experience ",negative
" only the front of the bag is actually beaded and the quality poor. the original price should have been $5 or fewer to be reasonable. this would make a better toy for a little girl than an actual accessory ",negative
" i've had this coin purse not even 2 months now and i've only used it about 7 times. unfortunately the zipper broke already! i couldn't believe it. ",negative
" i purchased this item judging by its comfort factor. all's well except the buckles do not have pins to hold the straps in place. the straps slip off occassionally causing the shoes to come loose. ",negative
" i ordered a pair of black cotton mary janes and i had the same problem with the turpentine smell. i was prepared for it because of reading other reviews and was willing to take my chances for the price. i wonder if any of the other colors or fabrics had the same problem. i washed them in vinegar water immediately after buying them and it helped some but they still stink. i'm going to wrap them in a clear plastic bag to transport them on the plane and hope they don't make my other clothes smell and i'm still going to wear them and hope nobody else can smell them. ",negative
" even for only $12 these weren't worth the money. they came smelling extremely strongly of turpentine or some other noxious chemical and now at least 2 months since i have received them the smell has not dissipated. they are extremely stiff so even if they didn't reek i still wouldn't wear them b/c my feet would be in tatters by mid-day. i guess that's what i get for buying cheap shoes ",negative
" i was able to track the progress of this item and it took almost two weeks after the order request hit the warehouse for for the item to be shipped. i also paid for 2 day shipping and once the item shipped it took 3 days to get to me ",negative
" also item shipped is not item pictured ",negative
" the main thing here is that the bag shipped with out the strap. i bought it for my wife to carry all that stuff to work. with out the strap it does not work. i requested another one got it no strap. on the plus side is the bag looked and felt as pictured and the packing was if any thing over done. gre ",negative
" i just got my pair of sandals.i regret i didnot read the customer review before buying. although very cute and trendy sandles but are very uncomfortable ",negative
" this is a very pretty high quality leather shoe. the wedge heel is very steep and the toe is narrow. if you are going for looks only...they are good. if you want any kind of foot comfort...skip it ",negative
" initially i was going to order several items from andrew christian until i saw their shipping prices at checkout. $2 shipping on each $4 tee-shirt was more than excessive they were going to charge me $20 shipping on a $42 order! i canceled most of the items only ordering a belt and a tee. shipping was still ~ 50% surcharge. received my order yesterday and found that the belt is defective. the buckle is on backwards (no it's not reversible...) plus the material of the belt itself is damaged by a frayed hole. it isn't worth the shipping cost & hassle to send it back i'll probably just throw it away - but i did learn something. i will never deal with andrew christian again! i you choose to please pay attention to the shipping charges when you check out - you may decide to revise your order ",negative
" i love the style fabric fit extremely comfortable (but it is a t-shirt) i'm 5'2 and it doesn't come past my hips ",negative
" the shoes have sparkles all over and don't serve my purpose. i ordered them to use them for work but returned them because of the sparkle. a nice shoe to use during the night ",negative
" i bought this for me but the size ran small and it is not of a very good weight. i have a daughter that they did fit and she wanted to wear them under things so she became the proud owner. the shirts are not by any means high or even good quality ",negative
" the material is nice but the size is too small. i usually wear size xs for tops but for this tee the sleeve is too short ",negative
" these underpants are too bulky and puffy. my daughter was very uncomfortable wearing them ",negative
" i ordered a pair and they were too big...so when i asked for a rma number to return and get a smaller pair they said they could only snail mail me a ups lable... one month later it did not come... each time to emailed customer services they said they could only smail mail it and not email it to me.... whereas i know it is do-able.. bargain outfitters can as well as can online shoes .. so finally i paid $15 to send the boots back. on my dine.. and no doubt they will not reimburse me for my $.. i not only had to pay shipping to get the boots but also they will no doubt chaarge me a re-stocking fee. i will never ever buy from the sportsman's guide again... ",negative
" i ordered 4 toddler long-sleeved tees' in the same size i thought. when i received the shipment all 4 tees' were different sizes [even though they were all labeled the same size]. i have returned the items since the tees' run two sizes too small and the workmanship is questionable which translates into...that i will not be able to give this item to my loved one for christmas. ",negative
" i would not recommend these hats. you definately get what you pay for. the sizes are not true to fit and they are cheaply constructed (even for a 6.00 hat.) i basically threw it out. the sad thing is i spent as much in shipping as i did on the product ",negative
" i wish there was a rating of 0. this was very flimsy and the armband is just slightly larger than the slot provided. the armband cut through and tore the back completely off. i am returning it ",negative
" i would have loved it if they sent it but after over 2 weeks of telling me that it was in stock & on it's way the company fessed up that they were out of the color that i chose. the other color that they wanted to sub. looked pretty bad so i cancelled ",negative
" the pic that i ordered showed a knee length half slip. instead i received 3 long half slips from her room. i cannot use the long half slips and i sent them back. also i had bought them with a gift certificate from my granddaughter and couldn't find where to apply that so the cost was put on my visa. thanks. jeanne alle ",negative
" this wallet is so big for passport and don`t fit my documents from brazil. maybe is good for another country`s document ",negative
" this product never made it to destination. it was purchased with pants to match(which were pin-striped and didn't) and it was never sent to the recipient nor was i invoiced so i am currious if the seller plans to at this point or even if they intend to send the correct pants??? all i know is that with everything else being late for shipping durring the holiday and the wrong products otherwise i will not purchase from this seller again ",negative
" straps on this shoe are very short and since they close with velcro they are too short. i tried to add velcro but that didn't work. i had to give the shoes away. the strap rubbed across the top of the ankle and on the side of the foot and were very uncomfortable. would not recommend if you are on the heavy side ",negative
" there's a fine line between tacky and hip and these slippers are not it. these slippers looked much cuter in the picture than they do in person. also the only thing between your foot and the floor is a thin piece of rubber-y fabric. they're not made for warmth. all around disappointing ",negative
" i have seen others wear these slides and i know adidas usually supplies an excellent product. i did read the other reviews that warned of a need for breaking in the sole nubs and wearing socks during that process. however i've worn these slides for 2+ months and they still make the soles of my feet tender unless i continue to wear socks. i am disappointed in the slide but i will stubbornly continue to wear them. maybe some day they will be broken ",negative
" these are the absolute worst things i have ever bought. serves me right for by a sandal without ever having tried it on. i walked around the block from my house with them and barely made it home they hurt the bottoms of my feet so badly i may need to take an extra day off of work. the part of the sandal where it might normally be flat and cushioned has sharpened plastic spikes knifing the sole of your foot. take your money and throw it right into the garbage and save yourself the misery of ever having worn these so called sandals. and i love adidas ",negative
" they were very cheaply madethank goodness they were just for little girlsi would have been embarrassed if i'd have ordered them for a gift for someone.i know i shouldn't expect alot for $5. but i'd have thought they'd be better than they were ",negative
" i love the cotton color just the right shade for most beige and some white slacks. the show style it the most unconfortable of any clark shoe i have have. there is something strange about the left shoe it give me a blister everytime i wear it ",negative
" it looks great but the lace in the back itches so bad that i cannot wear it ",negative
" boots run about a size too big and unfortunately it cost $20 to return/exchange ",negative
" these boots were super cute and earned rave reviews each time that i wore them out although each boot split along the outside toe sole after approximately 10 wears. these splits although tiny allowed my socks to get soaked when splashing through our giant west coast puddles. i still wear them but now only for fashion instead of function ",negative
" and poison ivy in my mouth wouldn't keep my hands warm. these things itch like hell. i know they're wool but shut up. i think whoever made these had to steal the wool. no wonder they felt so bad. get it? steel wool? ugh go away ",negative
" i bought these for my younger than three month old son he didn't even move around alot and in the morning the fabric that the snaps are attached to would be ripped off from the shirt. i ended up having to throw them all away or keep sewing them back together. i do not suggest that anyone buy these ",negative
" i wear boxers but boxer brifes look sexer so every one start wear boxer brifes that way you wont get pantsed or get a wegie ",negative
" the sweatshirt has a cardboard feeling that does not conform to the body. my husband is 6' 178 pounds so he does not have a problem finding clothes that fit but this one looked like a stiff kite on him. be aware the items were returned and the vendor took over five weeks after receiving the item back to refund the money and only after i had filed a complaint with amazon. amazon acted quickly to post the credit. ",negative
" the item looks cheap. i ordered a medium size but it was 2x bigger than the regular size. ugly ",negative
" i quesss for the price you cant beat it but i think it should have said patch leather or leather pieces also the size runs larger than regular coats xl was really more like an xxl.but like i said for the price you cant beat it i really should have invested more and got a better coat. thank you dlan ",negative
" didn't like the way these boots fit. the souls were really lumpy and you could feel it when you walked. they also looked really wierd on they flattened out really wide and felt like your foot would slipp off of them sideways. returned them and paid for the shipping myself ",negative
" i broke through the toe on the second wearing. lousy product ",negative
" i keep tyring to find shirts that are for these prices $910 or 11 where are they? how do i find out ",negative
" super low price advertised on 'select sizes and colors'. oh and u have to add to your cart before you know the price ",negative
